"kode","uraian"
"4.1","PENDAPATAN ASLI DAERAH (PAD)"
"4.1.01","Pajak Daerah"
"4.1.01.09","Pajak Reklame"
"4.1.01.09.001","Pajak Reklame Papan/Billboard/Videotron/ Megatron"
"4.1.01.09.001.00001","Pajak Reklame Papan/Billboard/Videotron/ Megatron"
"4.1.01.09.002","Pajak Reklame Kain"
"4.1.01.09.002.00001","Pajak Reklame Kain"
"4.1.01.09.003","Pajak Reklame Melekat/Stiker"
"4.1.01.09.003.00001","Pajak Reklame Melekat/Stiker"
"4.1.01.09.005","Pajak Reklame Berjalan"
"4.1.01.09.005.00001","Pajak Reklame Berjalan"
"4.1.01.12","Pajak Air Tanah"
"4.1.01.12.001","Pajak Air Tanah"
"4.1.01.12.001.00001","Pajak Air Tanah"
"4.1.01.14","Pajak Mineral Bukan Logam dan Batuan"
"4.1.01.14.037","Pajak Mineral bukan Logam dan Batuan Lainnya"
"4.1.01.14.037.00001","Pajak Mineral bukan Logam dan Batuan Lainnya"
"4.1.01.15","Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBBP2)"
"4.1.01.15.001","PBBP2"
"4.1.01.15.001.00001","PBBP2"
"4.1.01.16","Bea Perolehan Hak Atas Tanah dan Bangunan (BPHTB)"
"4.1.01.16.001","BPHTB-Pemindahan Hak"
"4.1.01.16.001.00001","BPHTB-Pemindahan Hak"
"4.1.01.19","Pajak Barang dan Jasa Tertentu (PBJT)"
"4.1.01.19.001","PBJT-Makanan dan/atau Minuman"
"4.1.01.19.001.00001","PBJT-Restoran"
"4.1.01.19.002","PBJT-Tenaga Listrik"
"4.1.01.19.002.00001","PBJT-Konsumsi Tenaga Listrik dari Sumber Lain"
"4.1.01.19.003","PBJT-Jasa Perhotelan"
"4.1.01.19.003.00001","PBJT-Hotel"
"4.1.01.19.004","PBJT-Hotel"
"4.1.01.19.004.00001","PBJT-Penyediaan atau Penyelenggaraan Tempat Parkir"
"4.1.01.19.005","PBJT-Jasa Kesenian dan Hiburan"
"4.1.01.19.005.00008","PBJT-Permainan Ketangkasan"
"4.1.01.19.005.00009","PBJT-Olahraga Permainan dengan Menggunakan Tempat/Ruang dan/atau Peralatan dan Perlengkapan untuk Olahraga dan Kebugaran"
"4.1.01.19.005.00010","PBJT-Rekreasi Wahana Air, Wahana Ekologi, Wahana Pendidikan, Wahana Budaya, Wahana Salju, Wahana Permainan, Pemancingan, Agrowisata, dan Kebun Binatang"
"4.1.01.19.005.00012","PBJT-Distkotek, Karaoke, Kelab Malam, Bar, dan Mandi Uap/Spa"
"4.1.01.20","Opsen Pajak Kendaraan Bermotor (PKB)"
"4.1.01.20.001","Opsen PKB"
"4.1.01.20.001.00001","Opsen PKB"
"4.1.01.21","Opsen Bea Balik Nama Kendaraan Bermotor (BBNKB)"
"4.1.01.21.001","Opsen BBNKB"
"4.1.01.21.001.00001","Opsen BBNKB"
"4.1.02","Retribusi Daerah"
"4.1.02.01","Retribusi Jasa Umum"
"4.1.02.01.001","Retribusi Pelayanan Kesehatan"
"4.1.02.01.001.00001","Retribusi Pelayanan Kesehatan di Puskesmas"
"4.1.02.01.001.00005","Retribusi Pelayanan Kesehatan di Rumah Sakit Umum Daerah"
"4.1.02.01.001.00006","Retribusi Pelayanan Kesehatan di Tempat Pelayanan Kesehatan Lainnya yang Sejenis"
"4.1.02.01.002","Retribusi Pelayanan Persampahan/ Kebersihan"
"4.1.02.01.002.00001","Retribusi Pelayanan Persampahan/ Kebersihan"
"4.1.02.01.004","Retribusi Pelayanan Parkir di Tepi Jalan Umum"
"4.1.02.01.004.00001","Retribusi Penyediaan Pelayanan Parkir di Tepi Jalan Umum"
"4.1.02.02","Retribusi Jasa Usaha"
"4.1.02.02.001","Retribusi Pemakaian Kekayaan Daerah"
"4.1.02.02.001.00001","Retribusi Penyewaan Tanah dan Bangunan"
"4.1.02.02.001.00003","Retribusi Penyewaan Bangunan"
"4.1.02.02.001.00007","Retribusi Pemakaian Alat"
"4.1.02.02.002","Retribusi Pasar Grosir dan/atau Pertokoan"
"4.1.02.02.002.00001","Retribusi Penyediaan Fasilitas Pasar Grosir Berbagai Jenis Barang yang Dikontrakkan"
"4.1.02.02.005","Retribusi Tempat Khusus Parkir"
"4.1.02.02.005.00001","Retribusi Pelayanan Tempat Khusus Parkir"
"4.1.02.02.007","Retribusi Rumah Potong Hewan"
"4.1.02.02.007.00001","Retribusi Pelayanan Rumah Potong Hewan"
"4.1.02.02.009","Retribusi Tempat Rekreasi dan Olahraga"
"4.1.02.02.009.00001","Retribusi Pelayanan Tempat Rekreasi dan Olahraga"
"4.1.02.03","Retribusi Perizinan Tertentu"
"4.1.02.03.007","Retribusi Persetujuan Bangunan Gedung"
"4.1.02.03.007.00001","Retribusi Persetujuan Bangunan Gedung"
"4.1.03","Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan"
"4.1.03.02","Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD"
"4.1.03.02.001","Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Lembaga Keuangan)"
