"kode_urusan","kode_bidang","kode_program","kode_kegiatan","kode_sub_kegiatan","nomenklatur","kinerja","indikator","satuan"
"1","","","","","URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR","","",""
"1","1","","","","URUSAN PEMERINTAHAN BIDANG PENDIDIKAN","","",""
"1","1","2.0","","","PROGRAM PENGELOLAAN PENDIDIKAN","","",""
"1","1","2.0","1.01","","Pengelolaan Pendidikan Sekolah Menengah Atas","","",""
"1","1","2.0","1.01","1.0","Pembangunan USB (Unit Sekolah Baru)","Sekolah Baru yang Terbangun","Jumlah Sekolah Baru yang Telah Dibangun","Unit"
"1","1","2.0","1.01","3.0","Pembangunan Ruang Guru/Kepala Sekolah/TU","Ruang Guru/Kepala Sekolah/TU yang Terbangun","Jumlah Ruang Guru/Kepala Sekolah/TU yang Telah Dibangun","Ruang"
"1","1","2.0","1.01","10.0","Pembangunan Ruang Unit Kesehatan Sekolah","Ruang Unit Kesehatan Sekolah yang Terbangun","Jumlah Ruang Unit Kesehatan Sekolah yang Telah Dibangun","Ruang"
"1","1","2.0","1.01","11.0","Pembangunan Perpustakaan Sekolah","Ruang Perpustakaan Sekolah yang Terbangun","Jumlah Perpustakaan Sekolah yang Telah Dibangun","Ruang"
"1","1","2.0","1.01","12.0","Pembangunan Ruang Serba Guna/Aula","Ruang Serba Guna/Aula yang Terbangun","Jumlah Ruang Serba Guna/Aula yang Telah Dibangun","Ruang"
"1","1","2.0","1.01","13.0","Pembangunan Asrama Sekolah","Asrama Sekolah yang Terbangun","Jumlah Asrama Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.01","14.0","Pembangunan Sarana, Prasarana dan Utilitas Sekolah","Sarana, Prasarana dan Utilitas Sekolah yang Terbangun","Jumlah Sarana, Prasarana dan Utilitas Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.01","15.0","Pembangunan Fasilitas Parkir","Fasilitas Parkir yang Terbangun","Jumlah Fasilitas Parkir yang Telah Dibangun","Unit"
"1","1","2.0","1.01","16.0","Pembangunan Kantin Sekolah","Kantin Sekolah yang Terbangun","Jumlah Kantin Sekolah yang Telah Dibangun","Unit"
"1","1","2.0","1.01","19.0","Rehabilitasi Sedang/Berat Ruang Kelas Sekolah","Ruang Kelas Sekolah yang Terehabilitasi Sedang/Berat","Jumlah Ruang Kelas Sekolah yang Telah Direhabilitasi Sedang/Berat","Ruang"
"1","1","2.0","1.01","20.0","Rehabilitasi Sedang/Berat Ruang Guru/Kepala Sekolah/TU","Ruang Guru/Kepala Sekolah/TU yang Terehabilitasi Sedang/Berat","Jumlah Ruang Guru/Kepala Sekolah/TU yang Telah Direhabilitasi Sedang/Berat","Ruang"
"1","1","2.0","1.01","27.0","Rehabilitasi Sedang/Berat Ruang Unit Kesehatan Sekolah","Ruang Unit Kesehatan Sekolah yang Terehabilitasi Sedang/Berat","Jumlah Ruang Unit Kesehatan Sekolah yang Telah Direhabilitasi Sedang/Berat","Ruang"
"1","1","2.0","1.01","28.0","Rehabilitasi Sedang/Berat Perpustakaan Sekolah","Perpustakaan Sekolah yang Terehabilitasi Sedang/Berat","Jumlah Perpusatakaan Sekolah yang Telah Direhabilitasi Sedang/Berat","Ruang"
"1","1","2.0","1.01","29.0","Rehabilitasi Sedang/Berat Ruang Serba Guna/Aula","Ruang Serba Guna/Aula yang Terehabilitasi Sedang/Berat","Jumlah Ruang Serba Guna/Aula yang Telah Direhabilitasi Sedang/Berat","Ruang"
"1","1","2.0","1.01","36.0","Pengadaan Mebel Sekolah","Mebel Sekolah yang Tersedia","Jumlah Mebel Sekolah yang Tersedia","Paket"
"1","1","2.0","1.01","37.0","Pengadaaan Alat Rumah Tangga Sekolah","Alat Rumah Tangga Sekolah yang Tersedia","Jumlah Alat Rumah Tangga Sekolah yang Tersedia","Paket"
"1","1","2.0","1.01","38.0","Pengadaan Perlengkapan Sekolah","Perlengkapan Sekolah yang Tersedia","Jumlah Perlengkapan Sekolah yang Tersedia","Paket"
